log_row,log_esb
4910,"[1.0, 1.3, 1.0, 1.3, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]"
4910,"[1.0, 1.3, 1.0, 1.3, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]"
3431,[1.0]
1260,"[8.1, 8.1, 8.1, 8.1, 8.1, 8.1, 8.1, 8.1, 8.1, 8.1]"
3178,"[1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9, 1.9]"
3752,"[2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3]"
579,[1.3]
4668,[0.7]
426,"[5.6, 5.6, 5.6, 4.6]"
4085,"[7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3, 7.3]"
2694,"[3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 3.9, 4.3, 3.9, 3.9]"
2524,[0.9]
454,[0.7]
1431,[4.6]
4697,"[3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7]"
4699,"[1.9, 1.9, 1.9, 1.9, 1.6]"
194,"[5.1, 5.1, 5.1, 5.1, 5.1, 5.2, 5.1, 5.1, 5.1, 5.1]"
